x0,x1,Start,Duration
-4.9969,-5.3916,919.7143,1.2192
-4.9922,-4.1794,919.7666,5.2449
-5.3859,-4.8902,919.8964,1.2794
-4.9969,-5.0719,920.0683,0.0414
-5.5665,-4.9579,920.1097,2.5485
-4.9922,-4.9233,920.3118,0.0476
-4.9922,-5.1101,920.3594,0.0974
-4.9969,-5.3569,920.3749,1.0138
-4.9922,-4.0762,920.4568,6.6000
-4.9969,-5.0719,920.5021,0.0414
-4.9922,-5.3212,920.5436,0.8223
-4.5271,-5.0719,920.6966,1.8136
-4.9592,-5.6274,920.8030,3.1132
-4.9969,-5.0719,920.9335,0.0414
-4.6931,-5.0719,920.9749,0.7916
-5.0696,-4.9579,921.1758,0.0529
-4.9627,-5.2259,921.2287,0.4185
-4.9922,-5.3312,921.3658,0.8743
-5.4391,-4.9961,921.3887,1.5308
-4.9969,-4.2227,921.4517,4.7182
-3.9155,-5.4236,921.6472,10.2768
-4.7133,-4.9233,921.6530,0.7024
-5.0061,-4.8388,921.7666,0.2079
-5.0061,-4.7865,921.8430,0.3644
-5.4590,-4.9233,921.9745,1.7179
-4.9922,-4.9233,922.0880,0.0476
-4.3588,-5.0719,922.1356,3.2752
-5.1896,-5.2327,922.2074,0.7184
-4.3676,-4.9579,922.2401,3.1624
-5.0061,-4.8388,922.3554,0.2079
-4.9922,-4.9233,922.4007,0.0476
-4.9969,-5.0719,922.4483,0.0414
-5.6691,-4.8388,922.4897,3.7188
-5.1961,-5.3709,922.5102,1.3985
-4.9969,-5.0719,922.5632,0.0414
-4.9969,-4.7993,922.5915,0.3219
-4.9969,-5.0719,922.6047,0.0414
-4.9922,-4.6573,922.6461,0.9359
-4.6423,-6.1185,922.6582,10.4458
-4.9922,-4.9233,922.9133,0.0476
-5.0061,-4.4577,922.9195,2.3258
-6.2234,-4.6293,922.9258,12.2547
-4.9969,-5.0719,922.9609,0.0414
-5.2970,-5.3231,923.0023,1.5292
-5.1584,-4.9087,923.5820,0.2669
-4.7625,-4.8791,923.6335,0.5666
-4.9969,-5.0719,923.6924,0.0414
-4.9922,-4.9233,923.7338,0.0476
-4.6898,-4.9278,923.7814,0.8080
-4.5119,-5.1101,923.8110,1.9827
-4.9922,-5.9449,923.8489,6.8935
-5.0571,-4.9233,923.9087,0.0731
-4.0221,-4.9233,923.9161,7.4085
-4.9922,-4.9233,923.9760,0.0476
-4.9969,-4.1348,923.9818,5.8128
-4.9922,-5.1101,924.0236,0.0974
-4.9969,-5.1147,924.1210,0.1054
-4.9969,-5.0719,924.2001,0.0414
-4.8370,-5.9607,924.2206,7.3153
-4.4923,-5.1101,924.2263,2.1357
-4.6991,-4.4252,924.2415,3.3110
-4.7887,-5.0183,924.3758,0.3591
-5.2917,-4.7157,924.5315,1.3184
-4.6598,-5.0055,924.5893,0.9219
-5.3362,-5.5976,924.7348,3.6917
-4.9922,-4.9233,925.0115,0.0476
-4.7612,-5.6952,925.0591,4.2307
-5.8134,-5.0719,925.2452,5.1944
-4.9922,-4.9233,925.4026,0.0476
-5.2012,-4.8042,925.4108,0.6287
-4.8868,-5.2834,925.4501,0.7422
-5.0061,-4.9579,925.5112,0.0145
-4.9969,-4.7621,925.5257,0.4518
-4.9969,-5.3116,925.5733,0.7737
-4.7007,-5.4738,925.6657,2.4809
-5.1738,-5.0719,925.7936,0.2825
-4.7924,-4.4843,925.8284,2.4422
-4.9969,-4.4935,925.8500,2.0317
-4.9730,-5.4409,925.9775,1.5486
-5.0156,-4.9579,926.0395,0.0161
-4.5468,-5.0719,926.0556,1.6701
