x0,x1,Duration
0.2534,1.9114,14.2674
0.2014,-0.7429,15.2908
-0.4844,1.4135,14.7871
-0.6295,-1.0125,15.8681
-0.9556,-0.3447,15.6563
3.2661,-2.0780,14.8891
-0.4753,0.3182,15.1461
-1.9022,1.7761,15.0805
-0.7635,1.3006,14.9144
0.2696,-0.4918,15.1705
0.1087,0.3105,14.9408
0.8752,2.9308,13.1860
-0.2113,0.2435,15.0792
1.3935,1.2871,13.8516
-0.9607,-1.0854,16.1633
-0.7118,2.1879,14.6646
1.0431,0.9943,14.2539
1.8506,-0.6676,14.7320
0.1614,-0.9350,15.3829
2.8174,-1.1953,14.7185
-0.5283,1.3948,14.8084
-2.4194,0.0727,16.1062
-0.2401,0.7334,14.9174
0.1817,1.1686,14.6010
-1.3095,0.5951,15.3247
0.0254,0.7962,14.7994
0.7102,-1.3764,15.2976
0.2516,-0.2961,15.1067
1.5829,-1.5752,15.0595
0.8703,1.0710,14.3067
-0.4555,2.6557,14.4308
1.6374,0.2254,14.3965
-0.6165,1.5319,14.7999
-1.2120,0.2481,15.4507
0.1463,-0.2488,15.1286
-1.2495,-1.9587,17.3136
0.0745,-0.8350,15.3830
1.7424,-0.9446,14.8527
-0.0707,-0.9922,15.5218
2.2829,1.0240,13.4477
-0.1904,3.4142,14.0606
2.1526,-0.5953,14.6259
-0.9787,-0.1263,15.5452
-1.3598,-2.2964,17.8901
2.9913,0.3112,13.7621
1.4448,1.4237,13.7123
1.8416,-1.0674,14.8661
-1.5432,-1.3123,16.9294
-2.2407,1.0322,15.4012
-0.5028,-1.0851,15.8269
1.6175,3.1979,11.9142
0.3767,-0.3469,15.0790
0.9134,0.6568,14.4894
0.5038,-2.0173,15.6138
-1.6387,-1.2709,16.9845
-2.9521,-0.2965,16.8204
-0.0848,-1.0011,15.5333
-0.4009,-0.5889,15.5027
1.2882,-1.9535,15.2325
-2.9305,-0.6225,17.2936
0.2650,-0.8730,15.3127
0.7959,-1.7436,15.3731
1.1459,-2.6667,15.4451
-0.6452,1.3706,14.8556
-0.4130,-0.3206,15.3837
-1.9186,1.2200,15.2485
0.0368,-1.0923,15.5094
-0.7524,-2.0423,16.7457
-0.5810,1.3552,14.8383
0.1288,0.4536,14.8826
1.6348,-0.6239,14.7739
0.0122,-1.5032,15.7095
-0.0405,0.1136,15.0649
-1.1216,1.4185,14.9880
2.6375,-0.9532,14.6624
-1.3322,1.1423,15.1270
0.0706,-0.2986,15.1757
-0.7076,-1.2602,16.0900
-0.0161,-0.9970,15.4954
-1.4216,-0.8366,16.3216
1.2169,0.8620,14.2348
-0.7318,0.9154,15.0224
0.7514,1.1089,14.3509
0.3770,-0.8564,15.2595
-0.8438,0.1742,15.3414
3.2834,1.5872,11.8905
0.0110,0.4726,14.9184
1.2642,1.2097,13.9922
1.1813,-0.2229,14.7624
-1.6960,2.2359,14.9448
-1.3636,-1.2269,16.6498
-2.2604,1.1065,15.3728
-0.8635,0.8445,15.0877
-1.4138,-1.5528,17.0600
0.0108,-1.2888,15.6110
1.0720,-0.8071,14.9964
-0.0438,0.5142,14.9234
0.6580,1.2180,14.3478
0.7715,-1.1320,15.1973
1.9397,0.1358,14.3265
0.4101,1.1508,14.5034
0.1111,0.6659,14.8134
1.4722,0.0979,14.5253
0.1945,0.0089,15.0179
-3.6206,-1.2933,19.2906
-2.0866,-0.9652,17.0577
-1.0221,0.6040,15.2258
-0.5999,0.4961,15.1238
-1.2313,-1.8638,17.1820
0.0893,1.1195,14.6589
0.4544,1.6760,14.2482
0.5728,-0.4183,15.0342
1.8562,-1.6478,15.0099
-0.4365,0.4282,15.0918
-0.8891,1.3792,14.9311
0.9109,-0.5840,14.9760
-0.9139,-1.4296,16.4004
-0.2954,-0.1550,15.2638
0.2178,0.5077,14.8307
-0.1193,-0.4086,15.2947
0.3117,2.0097,14.1881
0.9987,-0.0907,14.7732
-0.2513,0.2679,15.0846
-0.7818,-0.0813,15.4342
1.4718,0.9238,14.0540
0.3360,-0.3213,15.0847
1.9507,-0.5467,14.6588
-1.8243,0.8283,15.3822
-0.1798,-1.0197,15.5939
3.1866,-1.8115,14.8434
-0.3247,-0.3232,15.3464
